STATE,CITY,LOCATION,ENERGY,AREA,IT EQUIPMENT POWER,State_Aggregated_PUE,FULL_CABINETS,PARTIAL_CABINETS,SHARED_RACKSPACE,CAGES,SUITES,BUILD_TO_SUIT,FOOTPRINTS,REMOTE_HANDS,YEAR_OPERATIONAL,State_Aggregated_IXP_Count
IL,Chicago,Cologix CHI1,8.9,85000,6.05,1.52,True,True,True,True,False,False,True,True,2018.0,9
IL,Chicago,Cologix CHI2,5.9,84000,4.01,1.52,True,True,True,True,False,False,True,True,2005.0,9
IL,Chicago,Iron Mountain CHI1,8.8,181000,5.98,1.52,True,True,True,True,False,False,True,True,2015.0,9
IL,Chicago,Iron Mountain CHI2,6.4,77000,4.35,1.52,True,True,True,True,False,False,True,True,2004.0,9
IL,Chicago,Digital Realty CHI1,88.4,262000,65.42,1.52,True,True,False,True,True,True,True,True,2012.0,9
IL,Chicago,Digital Realty CHI2,64.6,300000,47.8,1.52,True,True,False,True,True,True,True,True,2005.0,9
IL,Chicago,TierPoint Chicago,3.5,75000,2.42,1.52,True,True,True,True,True,False,True,True,2008.0,9
IL,Chicago,Flexential Chicago,2.8,73000,1.96,1.52,True,True,True,True,True,False,True,True,2004.0,9
IL,Chicago,QTS Chicago,67.3,257000,51.15,1.52,True,True,False,True,True,True,True,True,2017.0,9
IL,Chicago,CyrusOne CHI1 - Chicago,48.6,302000,36.45,1.52,True,True,False,True,True,True,True,True,2005.0,9
IL,Chicago,Lumen Chicago 1,2.0,76000,1.3,1.52,True,True,True,False,False,False,True,True,1999.0,9
IL,Chicago,Lumen Chicago 2,5.9,68000,3.84,1.52,True,True,True,False,False,False,True,True,2013.0,9
AZ,Phoenix,Equinix PH1,29.9,200000,21.53,1.65,True,True,True,True,True,True,True,True,2000.0,4
AZ,Phoenix,Equinix PH2,18.9,364000,13.61,1.65,True,True,True,True,True,True,True,True,2000.0,4
AZ,Phoenix,DataBank PHX1,27.3,76000,19.11,1.65,True,True,True,True,True,False,True,True,2007.0,4
AZ,Phoenix,DataBank PHX2,21.0,107000,14.7,1.65,True,True,True,True,True,False,True,True,2017.0,4
AZ,Phoenix,CyrusOne PHX1 - Phoenix,71.9,291000,53.93,1.65,True,True,False,True,True,True,True,True,2009.0,4
AZ,Phoenix,Iron Mountain Phoenix,23.4,70000,15.91,1.65,True,True,True,True,False,False,True,True,2003.0,4
AZ,Phoenix,Flexential Phoenix,19.6,149000,13.72,1.65,True,True,True,True,True,False,True,True,2013.0,4
