STATE,CITY,LOCATION,ENERGY,AREA,IT EQUIPMENT POWER,State_Aggregated_PUE,FULL_CABINETS,PARTIAL_CABINETS,SHARED_RACKSPACE,CAGES,SUITES,BUILD_TO_SUIT,FOOTPRINTS,REMOTE_HANDS,YEAR_OPERATIONAL,State_Aggregated_IXP_Count,Cluster,PCA1,PCA2
AZ,Phoenix,TierPoint Phoenix,2.4,115000,1.66,1.65,1,1,1,1,1,0,1,1,2010.0,4,1,-1.242852133843401,-0.8514639135868152
AZ,Phoenix,Vantage AZ01,121.7,499000,94.93,1.65,1,0,0,1,1,1,1,1,2020.0,4,0,2.7061233381899665,7.030804736050043
AZ,Phoenix,Cologix PHX1,13.2,100000,8.98,1.65,1,1,1,1,0,0,1,1,2009.0,4,1,-0.8147358645469054,-1.1009961716888952
AZ,Chandler,DataBank PHX3 - Chandler,7.3,184000,5.11,1.65,1,1,1,1,1,0,1,1,2012.0,4,1,-1.120091478859875,-0.41593798795340525
AZ,Chandler,CyrusOne PHX2 - Chandler,71.1,526000,53.32,1.65,1,1,0,1,1,1,1,1,2012.0,4,0,0.5129521603836691,4.821615088549732
NJ,Parsippany,Equinix NY5,14.0,371000,10.08,1.62,1,1,1,1,1,1,1,1,2010.0,7,1,-0.9306860722652406,1.1295268138175207
NJ,Parsippany,DataBank NJ1,11.2,204000,7.84,1.62,1,1,1,1,1,0,1,1,2007.0,7,1,-0.9973673520515186,-0.28108268101311956
NJ,Parsippany,Cologix NJ1,4.9,84000,3.33,1.62,1,1,1,1,0,0,1,1,2013.0,7,1,-0.8420197249812267,-1.5173620090734332
NJ,Parsippany,Iron Mountain NJ1,10.2,176000,6.94,1.62,1,1,1,1,0,0,1,1,2006.0,7,1,-0.7405142728230746,-1.054889654986
NJ,Parsippany,TierPoint New Jersey,7.6,86000,5.24,1.62,1,1,1,1,1,0,1,1,2017.0,7,1,-1.080688528508209,-0.7423193733066055
NJ,Secaucus,Equinix NY4,19.9,59000,14.33,1.62,1,1,1,1,1,1,1,1,2007.0,7,1,-1.068741963384005,0.35660299528606654
NJ,Secaucus,Equinix NY7,13.0,386000,9.36,1.62,1,1,1,1,1,1,1,1,2007.0,7,1,-0.9483737236487881,1.1160783363476734
